MENU_01,본부,1,/hq,,,N
MENU_94,선로전환기,1,/device/pmd/10/100PMD_NS,MENU_12,,Y
MENU_95,궤도회로,2,/device/tlds/10/100_TLDS_AF,MENU_12,,Y
MENU_96,전원설비,3,/device/powerEquipment/10,MENU_12,,N
MENU_97,안전설비,4,/device/safetyEquipment/10,MENU_12,,N
MENU_98,전자연동장치,5,/device/electronicLinkage/10,MENU_12,,N
MENU_99,ATC장치,6,/device/powerEquipment/10,MENU_12,,N
MENU_100,선로변기능모듈,7,/device/safetyEquipment/10,MENU_12,,N
MENU_101,출입자관리,6,/EntranceMgmt/10,MENU_12,,Y
MENU_102,선로전환기,1,/device/pmd/11/100PMD_NS,MENU_13,,Y
MENU_103,궤도회로,2,/device/tlds/11/100_TLDS_AF,MENU_13,,Y
MENU_104,전원설비,3,/device/powerEquipment/11,MENU_13,,N
MENU_105,안전설비,4,/device/safetyEquipment/11,MENU_13,,N
MENU_106,전자연동장치,5,/device/electronicLinkage/11,MENU_13,,N
MENU_107,ATC장치,6,/device/powerEquipment/11,MENU_13,,N
MENU_108,선로변기능모듈,7,/device/safetyEquipment/11,MENU_13,,N
MENU_109,출입자관리,6,/EntranceMgmt/11,MENU_13,,Y
MENU_110,장치기본정보관리(평가기준),1,/SignalEvaluationStd,MENU_14,,Y
MENU_111,유지보수관리,2,/RepairTagging,MENU_14,,Y
MENU_112,통합검색,3,/TotalSearch,MENU_14,,Y
MENU_113,사용자관리,4,/ManageUser,MENU_14,,N
MENU_114,보고서,5,/Report,MENU_14,,i
MENU_115,모델관리,1,/ScenarioManage,MENU_15,,Y
MENU_116,로그기록,2,/LookupLog,MENU_15,,Y
MENU_117,메뉴얼,3,/Manual,MENU_15,,N
MENU_118,시스템설정,4,/SystemSetting,MENU_15,,i
MENU_119,진단 이력 조회,4,/DiagnosisHistory,MENU_14,,Y
MENU_120,유지보수,5,Maintenance,MENU_14,,
